atributo,subgrupo,n,positivos,negativos,TPR,TPR_ic95,FPR,FPR_ic95,precisao,acuracia
Patient Gender,F,164,93,71,0.839,"[0.76,0.91]",0.493,"[0.38,0.61]",0.69,0.695
Patient Gender,M,181,83,98,0.699,"[0.59,0.80]",0.316,"[0.22,0.40]",0.652,0.691
faixa_etaria,<45,134,73,61,0.712,"[0.60,0.81]",0.295,"[0.19,0.41]",0.743,0.709
faixa_etaria,45-60,109,47,62,0.809,"[0.68,0.91]",0.468,"[0.35,0.60]",0.567,0.651
faixa_etaria,>60,102,56,46,0.821,"[0.72,0.91]",0.413,"[0.27,0.55]",0.708,0.716
View Position,AP,139,69,70,0.841,"[0.75,0.92]",0.6,"[0.49,0.71]",0.58,0.619
View Position,PA,206,107,99,0.729,"[0.64,0.81]",0.242,"[0.16,0.33]",0.765,0.743
